iter	RMSE
0	1714878.647
1	1671878.507
2	1637490.46
3	1603095.792
4	1567877.354
5	1535458.783
6	1505779.558
7	1472530.478
8	1444067.191
9	1417326.562
10	1396251.277
11	1376572.865
12	1352309.406
13	1328559.575
14	1307783.342
15	1289079.69
16	1267520.905
17	1251408.047
18	1234265.96
19	1217219.897
20	1201116.006
21	1190972.427
22	1176884.834
23	1159928.493
24	1145994.858
25	1135372.055
26	1122031.539
27	1110324.327
28	1097329.882
29	1091419.738
30	1081799.038
31	1073813.788
32	1064452.091
33	1053499.322
34	1041552.753
35	1032899.612
36	1023152.291
37	1014757.92
38	1008315.354
39	1003341.43
40	996481.274
41	993433.7077
42	982870.1653
43	977297.1132
44	970460.5505
45	964328.0381
46	957680.2112
47	949436.2605
48	943867.6118
49	937089.4637
50	931806.4269
51	926922.3315
52	920407.5422
53	916044.0732
54	912455.1646
55	909351.3014
56	906321.0071
57	903548.0398
58	898790.3353
59	895506.9305
60	895130.5033
61	891498.7762
62	888878.9671
63	883513.4404
64	882722.733
65	880431.626
66	877608.4294
67	873577.0971
68	869482.9498
69	868306.1539
70	866406.2386
71	863480.2168
72	861905.3935
73	857809.071
74	854545.2785
75	852604.3977
76	850824.6051
77	847079.8262
78	840801.9676
79	839519.7196
80	837697.6453
81	836203.084
82	834015.0943
83	830829.6865
84	829536.6314
85	827870.088
86	826901.6691
87	824535.8057
88	823832.5429
89	823409.9526
90	818401.0907
91	815110.6942
92	813636.3588
93	809732.1735
94	808664.3907
95	803680.6931
96	801854.2155
97	799979.2803
98	797887.4669
99	795250.6112
100	795237.0635
101	794898.794
102	794564.774
103	790913.4811
104	788149.7993
105	783699.2758
106	782186.639
107	781384.6709
108	779969.4665
109	779646.1146
110	776719.2062
111	776579.919
112	774777.8176
113	773994.3783
114	771709.315
115	767959.9022
116	763785.0875
117	762527.3888
118	761757.7794
119	759862.85
120	758797.0509
121	757528.8144
122	754264.0731
123	752258.5592
124	750731.6477
125	748179.0569
126	746531.0907
127	745027.7215
128	743230.7198
129	740587.3908
130	739684.4046
131	737678.4062
132	736064.6966
133	735008.5628
134	733718.7107
135	731151.5862
136	729643.3547
137	728858.7479
138	727520.2363
139	726563.9905
140	724524.4752
141	723596.2175
142	721646.9885
143	721344.0651
144	718762.5554
145	717846.5339
146	716122.0158
147	714868.5747
148	713975.1775
149	712612.1762
150	712375.4771
151	710611.7753
152	710114.5669
153	709664.8424
154	708317.1617
155	706971.2916
156	705108.5994
157	703516.1905
158	702550.0796
159	700162.0334
160	698493.2403
161	697801.1162
162	697147.1359
163	694838.0978
164	693882.5668
165	692271.9594
166	690453.2589
167	689064.9848
168	688428.9112
169	686436.4878
170	685240.8962
171	683537.7245
172	683378.8808
173	681665.7902
174	680085.4115
175	679355.9339
176	677378.6089
177	676665.19
178	676530.6762
179	675424.3653
180	675102.0273
181	673733.004
182	673450.6632
183	672063.0885
184	670544.6018
185	668368.4452
186	666637.3838
187	665390.1452
188	663698.7928
189	662578.4802
190	661264.4616
191	659771.1105
192	657526.2857
193	655650.1719
194	654828.9607
195	654663.6155
196	653851.7476
197	651956.6011
198	651814.1064
199	650545.5301
200	647209.8682
201	646466.0351
202	645759.3242
203	644208.8267
204	643125.6265
205	642377.3241
206	640893.3647
207	639938.9332
208	638869.5858
209	637658.667
210	637385.9762
211	635577.5501
212	634849.3503
213	634045.3785
214	631864.7541
215	630741.8764
216	628861.0216
217	628471.8967
218	628397.3526
219	627344.9958
220	625950.3547
221	624150.7014
222	621808.463
223	621745.32
224	618310.4271
225	616900.8526
226	613604.3739
227	613141.0499
228	610517.6878
229	610222.0873
230	609233.225
231	609159.2663
232	608171.045
233	607616.8726
234	606503.1571
235	605729.3061
236	604728.8214
237	604645.5148
238	604559.7449
239	603843.6286
240	603150.955
241	602386.1723
242	601642.6474
243	600284.3271
244	600194.4089
245	599408.1123
246	598919.5632
247	598094.1421
248	598015.1906
249	597793.8856
250	594688.9379
251	594630.1434
252	593359.3934
253	592823.9606
254	592488.0244
255	590892.541
256	588435.8361
257	587968.0394
258	586600.454
259	585657.9183
260	585390.4496
261	585297.0666
262	584501.5038
263	583226.7501
264	581546.6606
265	580940.6327
266	580216.663
267	580130.4733
268	579433.2612
269	579190.6308
270	578723.218
271	577995.5465
272	577261.4561
273	576818.5171
274	576312.9293
275	575584.5946
276	575165.4178
277	574643.1909
278	574428.8011
279	574358.2459
280	573811.5097
281	572426.0205
282	571024.8257
283	570153.0195
284	568841.1149
285	566571.5055
286	565125.8965
287	564142.7688
288	563211.6794
289	562851.3966
290	561698.8288
291	561425.7798
292	561135.9291
293	559401.8763
294	557792.1247
295	557166.1128
296	555532.8215
297	554542.273
298	554511.8188
299	553693.0785
300	553316.4555
301	552343.9059
302	551820.3595
303	551502.9057
304	550708.4689
305	550098.2779
306	548994.6478
307	548184.0998
308	548020.5286
309	546467.2164
310	546053.6056
311	545465.5489
312	544932.3576
313	544747.9824
314	544301.4249
315	543657.8638
316	542995.2522
317	541979.4099
318	541235.3782
319	540754.2915
320	540426.8111
321	539694.4686
322	537955.0278
323	536140.8712
324	536091.6379
325	535423.3633
326	535150.9526
327	535126.3241
328	535090.8146
329	535054.185
330	534326.556
331	532490.0505
332	532192.8063
333	531731.4455
334	531485.6546
335	531224.5631
336	531019.2355
337	530567.0037
338	528620.5857
339	528310.0976
340	527727.2127
341	526721.6704
342	525183.3041
343	525145.7673
344	524363.4459
345	523580.8032
346	522661.542
347	522261.6839
348	522207.1094
349	521668.8997
350	521105.2971
351	520715.6065
352	520693.3434
353	520461.5458
354	520257.1006
355	520137.1163
356	519621.2522
357	518997.098
358	518469.7975
359	517447.3363
360	515760.0391
361	515157.9008
362	514378.9478
363	514343.227
364	513807.7659
365	513308.7844
366	513096.3969
367	512962.7875
368	512311.5715
369	512157.4048
370	511447.0425
371	510823.2402
372	510627.9747
373	509288.171
374	507935.0877
375	507619.3791
376	507322.3521
377	506899.3955
378	505639.7301
379	505407.7666
380	505304.6643
381	504582.2159
382	504197.5049
383	503324.5024
384	502697.343
385	502373.9745
386	502064.8039
387	501627.2035
388	501592.5162
389	500866.499
390	500043.5957
391	500013.0798
392	499496.9398
393	499119.1397
394	499046.9205
395	498260.6343
396	497957.3599
397	497192.6716
398	496345.1529
399	495394.7495
400	495043.6222
401	494595.2921
402	493971.9461
403	493212.6532
404	492504.0492
405	491570.2013
406	490797.0845
407	490750.1074
408	490346.5033
409	490262.2881
410	490099.4882
411	489533.8345
412	489100.7932
413	488378.1518
414	487492.211
415	486692.5495
416	485932.3328
417	485169.4504
418	484234.822
419	483733.1185
420	483647.8892
421	483235.4915
422	483207.0544
423	482716.0474
424	482690.9427
425	482594.9827
426	482059.5366
427	481800.3138
428	481766.0159
429	481685.6613
430	481651.16
431	481525.398
432	480581.9777
433	480451.6662
434	480434.1925
435	480106.3179
436	479209.6183
437	478829.4705
438	478463.8748
439	478445.7236
440	477624.0226
441	477057.0517
442	476552.8336
443	475909.2417
444	475836.9458
445	474925.9226
446	474276.1638
447	474253.4152
448	473741.4106
449	473680.5129
450	473656.7588
451	473619.8687
452	473051.7657
453	473030.4377
454	472963.4529
455	472122.2976
456	471771.0792
457	470949.9293
458	470640.712
459	470344.5694
460	469949.4353
461	469906.3391
462	469620.3843
463	469101.6614
464	468780.3799
465	467921.2194
466	467851.9004
467	467569.127
468	467524.8202
469	467065.9253
470	466633.4227
471	466566.1542
472	466289.0615
473	466276.0269
474	465815.2171
475	465751.2794
476	465426.6046
477	465279.05
478	465216.9917
479	464716.1554
480	463960.2883
481	463689.8074
482	463450.7549
483	463397.2138
484	462938.4719
485	462572.5908
486	462546.3036
487	461832.602
488	461439.1735
489	461035.0182
490	460799.9156
491	460640.1979
492	460166.6637
493	459500.02
494	459492.8156
495	458937.3057
496	458305.6133
497	457949.4467
498	457463.7284
499	456295.4746
