iter	Passed	Remaining
0	32	15983
1	70	17648
2	103	17082
3	140	17407
4	166	16488
5	205	16922
6	236	16648
7	273	16836
8	310	16938
9	347	17033
10	385	17138
11	410	16689
12	446	16740
13	484	16804
14	520	16825
15	556	16830
16	593	16864
17	619	16588
18	661	16751
19	709	17032
20	755	17226
21	793	17246
22	833	17282
23	872	17309
24	912	17342
25	951	17344
26	988	17308
27	1023	17248
28	1061	17241
29	1087	17039
30	1127	17054
31	1161	16989
32	1201	17001
33	1239	16987
34	1276	16962
35	1314	16942
36	1351	16911
37	1388	16879
38	1429	16900
39	1466	16867
40	1506	16868
41	1533	16727
42	1572	16715
43	1609	16682
44	1645	16641
45	1682	16600
46	1718	16562
47	1760	16581
48	1796	16531
49	1832	16490
50	1867	16441
51	1897	16345
52	1933	16303
53	1968	16256
54	2003	16212
55	2041	16187
56	2081	16173
57	2106	16050
58	2142	16015
59	2179	15982
60	2197	15813
61	2237	15805
62	2275	15786
63	2314	15770
64	2328	15580
65	2367	15569
66	2406	15554
67	2445	15535
68	2484	15519
69	2505	15389
70	2525	15261
71	2565	15252
72	2605	15242
73	2643	15216
74	2678	15180
75	2709	15116
76	2745	15084
77	2780	15045
78	2816	15010
79	2834	14883
80	2877	14882
81	2923	14902
82	2967	14908
83	3004	14877
84	3022	14758
85	3059	14729
86	3088	14661
87	3126	14636
88	3150	14550
89	3170	14445
90	3217	14459
91	3255	14436
92	3286	14384
93	3325	14363
94	3345	14261
95	3387	14257
96	3427	14238
97	3469	14233
98	3507	14206
99	3544	14178
100	3561	14070
101	3577	13958
102	3607	13903
103	3645	13881
104	3687	13871
105	3727	13855
106	3770	13847
107	3790	13757
108	3828	13732
109	3846	13635
110	3881	13602
111	3893	13488
112	3930	13459
113	3966	13430
114	4004	13405
115	4043	13386
116	4089	13385
117	4130	13372
118	4149	13286
119	4187	13260
120	4225	13234
121	4262	13207
122	4298	13175
123	4334	13143
124	4370	13111
125	4405	13076
126	4441	13043
127	4476	13009
128	4514	12984
129	4554	12962
130	4594	12942
131	4634	12920
132	4671	12890
133	4707	12858
134	4743	12825
135	4779	12792
136	4816	12762
137	4852	12729
138	4888	12696
139	4927	12671
140	4963	12637
141	4999	12603
142	5035	12570
143	5072	12540
144	5107	12505
145	5142	12469
146	5178	12435
147	5214	12402
148	5252	12372
149	5291	12347
150	5318	12292
151	5357	12266
152	5397	12241
153	5437	12215
154	5473	12183
155	5509	12149
156	5545	12115
157	5580	12080
158	5617	12046
159	5652	12012
160	5687	11975
161	5722	11940
162	5759	11908
163	5802	11888
164	5837	11852
165	5872	11816
166	5908	11782
167	5944	11748
168	5979	11712
169	6016	11678
170	6055	11650
171	6096	11625
172	6137	11600
173	6176	11571
174	6214	11540
175	6250	11506
176	6286	11471
177	6321	11435
178	6356	11398
179	6393	11365
180	6430	11332
181	6465	11296
182	6499	11258
183	6534	11222
184	6572	11191
185	6625	11185
186	6674	11172
187	6717	11147
188	6755	11115
189	6795	11086
190	6831	11052
191	6867	11015
192	6903	10981
193	6939	10946
194	6975	10910
195	7011	10875
196	7047	10839
197	7082	10802
198	7119	10768
199	7154	10731
200	7190	10695
201	7225	10659
202	7263	10626
203	7297	10588
204	7333	10552
205	7370	10519
206	7410	10489
207	7449	10457
208	7484	10420
209	7518	10383
210	7554	10346
211	7590	10311
212	7628	10278
213	7664	10242
214	7698	10205
215	7734	10169
216	7768	10131
217	7803	10094
218	7838	10057
219	7873	10021
220	7910	9986
221	7944	9949
222	7980	9912
223	8014	9875
224	8065	9858
225	8100	9821
226	8136	9785
227	8177	9755
228	8218	9725
229	8259	9695
230	8299	9664
231	8338	9632
232	8378	9600
233	8416	9567
234	8454	9534
235	8490	9497
236	8526	9461
237	8560	9423
238	8596	9387
239	8632	9352
240	8671	9318
241	8708	9283
242	8748	9252
243	8788	9220
244	8830	9190
245	8869	9158
246	8908	9124
247	8945	9089
248	8981	9053
249	9017	9017
250	9054	8981
251	9089	8945
252	9126	8910
253	9166	8877
254	9202	8841
255	9239	8806
256	9276	8770
257	9310	8733
258	9346	8697
259	9383	8661
260	9420	8626
261	9457	8590
262	9493	8554
263	9528	8517
264	9563	8480
265	9599	8444
266	9637	8410
267	9672	8373
268	9708	8336
269	9745	8302
270	9789	8272
271	9830	8240
272	9872	8208
273	9909	8173
274	9946	8138
275	9984	8102
276	10021	8067
277	10058	8032
278	10094	7996
279	10131	7960
280	10167	7924
281	10207	7890
282	10250	7860
283	10298	7832
284	10347	7806
285	10390	7774
286	10425	7737
287	10462	7701
288	10498	7664
289	10533	7627
290	10569	7591
291	10606	7555
292	10644	7520
293	10685	7486
294	10729	7455
295	10769	7421
296	10807	7387
297	10843	7350
298	10881	7314
299	10916	7277
300	10952	7240
301	10988	7204
302	11024	7167
303	11060	7130
304	11099	7096
305	11134	7058
306	11173	7024
307	11210	6988
308	11246	6951
309	11281	6914
310	11316	6877
311	11352	6840
312	11390	6804
313	11430	6770
314	11469	6736
315	11509	6701
316	11547	6666
317	11584	6629
318	11620	6593
319	11657	6557
320	11693	6520
321	11728	6483
322	11763	6446
323	11798	6409
324	11834	6372
325	11870	6335
326	11910	6301
327	11951	6267
328	11989	6231
329	12026	6195
330	12063	6159
331	12099	6122
332	12134	6085
333	12171	6049
334	12209	6013
335	12248	5978
336	12285	5942
337	12322	5905
338	12360	5870
339	12399	5835
340	12437	5799
341	12474	5763
342	12510	5726
343	12547	5690
344	12584	5653
345	12621	5617
346	12657	5580
347	12693	5544
348	12730	5508
349	12766	5471
350	12804	5435
351	12839	5398
352	12875	5361
353	12911	5325
354	12946	5288
355	12982	5251
356	13022	5216
357	13064	5181
358	13101	5145
359	13138	5109
360	13175	5073
361	13228	5042
362	13269	5008
363	13312	4973
364	13351	4938
365	13388	4901
366	13426	4865
367	13463	4829
368	13500	4792
369	13538	4756
370	13582	4722
371	13619	4686
372	13656	4649
373	13694	4613
374	13732	4577
375	13769	4540
376	13807	4504
377	13844	4468
378	13887	4433
379	13925	4397
380	13962	4361
381	13998	4324
382	14035	4287
383	14071	4250
384	14107	4214
385	14144	4177
386	14182	4141
387	14219	4104
388	14254	4067
389	14296	4032
390	14332	3995
391	14367	3958
392	14403	3921
393	14440	3885
394	14475	3848
395	14510	3810
396	14544	3773
397	14579	3736
398	14615	3699
399	14649	3662
400	14684	3625
401	14720	3588
402	14755	3551
403	14790	3514
404	14825	3477
405	14864	3441
406	14899	3404
407	14935	3367
408	14970	3330
409	15006	3294
410	15042	3257
411	15081	3221
412	15116	3184
413	15151	3147
414	15191	3111
415	15227	3074
416	15263	3037
417	15296	3000
418	15330	2963
419	15365	2926
420	15401	2890
421	15437	2853
422	15472	2816
423	15507	2779
424	15542	2742
425	15577	2705
426	15612	2669
427	15647	2632
428	15682	2595
429	15716	2558
430	15751	2521
431	15785	2484
432	15820	2448
433	15855	2411
434	15891	2374
435	15931	2338
436	15968	2302
437	16003	2265
438	16039	2228
439	16074	2192
440	16110	2155
441	16145	2118
442	16187	2082
443	16229	2046
444	16276	2011
445	16317	1975
446	16356	1939
447	16396	1903
448	16436	1866
449	16476	1830
450	16514	1794
451	16551	1757
452	16593	1721
453	16635	1685
454	16684	1650
455	16723	1613
456	16763	1577
457	16802	1540
458	16838	1504
459	16873	1467
460	16909	1430
461	16945	1393
462	16986	1357
463	17027	1321
464	17069	1284
465	17111	1248
466	17151	1211
467	17190	1175
